id,nombre,descripcion,categoria,precio_normal,precio_oferta,en_oferta,imagen,stock
ST-001,Netflix Perfil Extra - 1 Mes,Cuenta oficial extra bajo dominio hogar. Estable garantía y renovable. Pago legal.,Streaming,42000,40250,NO,Netflix1mes.jpg,20
ST-002,Netflix Perfil Extra - 2 Meses,Cuenta oficial extra bajo dominio hogar. Estable garantía y renovable por 2 meses.,Streaming,72000,69000,NO,Netflix2mes.jpg,20
ST-003,Netflix Premium Extra - Oferta Limitada,Perfil extra en oferta especial (sujeto a disponibilidad de stock).,Streaming,34800,33350,NO,netflixPremiumExtra.jpg,20
ST-004,Flujo TV - 1 Mes (Pantalla),Servicio de TV por streaming. Solo 1 pantalla. Súper estable con garantía.,Streaming,24000,23000,NO,FlujoTV1mes.jpg,20
ST-005,Flujo TV - 1 Mes (Cuenta Completa),Servicio de TV por streaming. Cuenta completa. Súper estable con garantía.,Streaming,36000,34500,SI,FlujoTV1mesCompleto.jpg,20
ST-006,Magis TV Pro - 1 Mes (Pantalla),Servicio IPTV Pro. 1 pantalla. Incluye canales en vivo y VOD. Renovable.,Streaming,21600,20700,NO,MagisTVPro1mesPantalla.jpg,20
ST-007,Magis TV Pro - 1 Mes (Cuenta Completa),Servicio IPTV Pro. Cuenta completa. Incluye canales en vivo y VOD. Renovable.,Streaming,30000,28750,NO,MagisTVPro1mesCompleto.jpg,20
ST-008,IPTV Smarters Pro - 1 Mes (Completa),Servicio IPTV estable. Cuenta completa para la app Smarters Pro.,Streaming,36000,34500,NO,IPTVSmartersPro1mesCompleto.jpg,20
ST-009,HBO Max - 1 Mes (Perfil),Perfil individual con garantía. Renovable.,Streaming,18000,17250,NO,HBOMax1mesPerfil.jpg,20
ST-010,HBO Max - 1 Mes (Completa),Cuenta completa privada. Renovable.,Streaming,30000,28750,SI,HBOMax1mesCompleto.jpg,20
ST-011,HBO Max - 1 Mes (A tu correo),Activación de cuenta completa directamente a tu correo personal.,Streaming,42000,40250,NO,HBOMax1mesCorreo.jpg,20
ST-012,Paramount+ - 1 Mes (Perfil),Perfil individual. Incluye página/bot. Renovable.,Streaming,21600,20700,NO,Paramount_1mesPerfil.jpg,20
ST-013,Paramount+ - 1 Mes (Completa),Cuenta completa privada. Incluye página/bot. Renovable.,Streaming,33600,32200,NO,Paramount_1mesCompleto.jpg,20
ST-014,Crunchyroll - 1 Mes (Perfil),Perfil individual para anime. Incluye página/bot. Renovable.,Streaming,18000,17250,NO,Crunchyroll1mesPerfil.jpg,20
ST-015,Crunchyroll - 1 Mes (Completa),Cuenta completa privada. Sin anuncios. Renovable.,Streaming,30000,28750,SI,Crunchyroll1mesCompleto.jpg,20
ST-016,Prime Video - 1 Mes (Perfil),Perfil individual Amazon Prime. Incluye página/bot.,Streaming,18000,17250,NO,PrimeVideo1mesPerfil.jpg,20
ST-017,Prime Video - 1 Mes (Completa),Cuenta completa Amazon Prime. Media posibilidad de renovación.,Streaming,30000,28750,NO,PrimeVideo1mesCompleto.jpg,20
ST-018,Prime Video - 1 Mes (A tu correo),Cuenta completa activada a tu correo personal.,Streaming,42000,40250,NO,PrimeVideo1mesCorreo.jpg,20
ST-019,Disney+ Premium - 1 Mes (Perfil),Perfil individual Disney+. Alta posibilidad de renovación.,Streaming,30000,28750,NO,Disney_Premium1mesPerfil.jpg,20
ST-020,Disney+ Premium - 1 Mes (Completa),Cuenta completa Disney+. Alta posibilidad de renovación.,Streaming,66000,63250,SI,Disney_Premium1mesCompleto.jpg,20
ST-021,Disney+ Premium - 1 Mes (A tu correo),Cuenta completa activada a tu correo. Alta estabilidad.,Streaming,78000,74750,NO,Disney_Premium1mesCorreo.jpg,20
ST-022,Disney+ Premium - Versión Estable (Completa),Versión bajo pedido (24h). Máxima estabilidad garantizada.,Streaming,84000,80500,NO,Escudo dorado de garantía sobre el logo de Disney+.,20
ST-023,Tigo Sports - 1 Mes (2 Dispositivos),Plan oficial Tigo Sports Paraguay. App oficial.,Streaming,120000,115000,NO,Logo de Tigo Sports con una pelota de fútbol de la liga paraguaya.,20
ST-024,Apple TV - 1 Mes (Completa),Cuenta completa Apple TV+ con contenido original.,Streaming,36000,34500,NO,Logo de la manzana de Apple TV sobre fondo negro minimalista.,20
ST-025,Vix+ Premium - 1 Mes,Cuenta completa para contenido latino y novelas.,Streaming,36000,34500,SI,Logo naranja de Vix+ con imágenes de novelas de fondo.,20
ST-026,Rakuten Viki - 1 Mes,Dramas asiáticos (Doramas) premium.,Streaming,36000,34500,NO,Texto Viki en azul y turquesa con caracteres coreanos de fondo.,20
ST-027,Plex - 1 Mes,Acceso a servidor Plex con contenido variado.,Streaming,36000,34500,NO,Logo de flecha amarilla de Plex sobre fondo gris oscuro.,20
ST-028,Zapping TV Básico - 1 Mes,Televisión en vivo vía internet. Plan básico.,Streaming,30000,28750,NO,Logo verde neón de Zapping TV.,20
ST-029,DAZN - 1 Mes,Streaming de deportes de combate y fútbol europeo.,Streaming,32400,31050,NO,Logo DAZN en blanco y negro con guantes de boxeo.,20
ST-030,DramaBox - 15 Años,Suscripción de largo plazo para dramas cortos.,Streaming,60000,57500,SI,Icono de caja de teatro roja con máscara de drama.,20
MU-001,Spotify Premium - 1 Mes (Individual 1ra vez),Cuenta individual nueva. Sin anuncios.,Música,24000,23000,NO,Logo verde de Spotify con ondas de sonido alrededor.,20
MU-002,Spotify Premium - 1 Mes (Individual Renovación),Renovación de cuenta individual existente.,Música,30000,28750,NO,Icono de reciclaje/renovación sobre el logo de Spotify.,20
