id,nombre,descripcion,categoria,precio_normal,precio_oferta,en_oferta,imagen
ST-001,Netflix Perfil Extra - 1 Mes,Cuenta oficial extra bajo dominio hogar. Estable garantía y renovable. Pago legal.,Streaming,42000,40250,SI,Netflix1mes.jpg
ST-002,Netflix Perfil Extra - 2 Meses,Cuenta oficial extra bajo dominio hogar. Estable garantía y renovable por 2 meses.,Streaming,72000,69000,SI,Netflix2mes.jpg
ST-003,Netflix Premium Extra - Oferta Limitada,Perfil extra en oferta especial (sujeto a disponibilidad de stock).,Streaming,34800,33350,SI,netflixPremiumExtra.jpg
ST-004,Flujo TV - 1 Mes (Pantalla),Servicio de TV por streaming. Solo 1 pantalla. Súper estable con garantía.,Streaming,24000,23000,SI,FlujoTV1mes.jpg
ST-005,Flujo TV - 1 Mes (Cuenta Completa),Servicio de TV por streaming. Cuenta completa. Súper estable con garantía.,Streaming,36000,34500,SI,FlujoTV1mesCompleto.jpg
ST-006,Magis TV Pro - 1 Mes (Pantalla),Servicio IPTV Pro. 1 pantalla. Incluye canales en vivo y VOD. Renovable.,Streaming,21600,20700,SI,MagisTVPro1mesPantalla.jpg
ST-007,Magis TV Pro - 1 Mes (Cuenta Completa),Servicio IPTV Pro. Cuenta completa. Incluye canales en vivo y VOD. Renovable.,Streaming,30000,28750,SI,MagisTVPro1mesCompleto.jpg
ST-008,IPTV Smarters Pro - 1 Mes (Completa),Servicio IPTV estable. Cuenta completa para la app Smarters Pro.,Streaming,36000,34500,SI,IPTVSmartersPro1mesCompleto.jpg
ST-009,HBO Max - 1 Mes (Perfil),Perfil individual con garantía. Renovable.,Streaming,18000,17250,SI,HBOMax1mesPerfil.jpg
ST-010,HBO Max - 1 Mes (Completa),Cuenta completa privada. Renovable.,Streaming,30000,28750,SI,Collage de series populares de HBO (Game of Thrones Last of Us).
ST-011,HBO Max - 1 Mes (A tu correo),Activación de cuenta completa directamente a tu correo personal.,Streaming,42000,40250,SI,Icono de sobre de email abierto con el logo de HBO saliendo de él.
ST-012,Paramount+ - 1 Mes (Perfil),Perfil individual. Incluye página/bot. Renovable.,Streaming,21600,20700,SI,Paramount_1mesPerfil.jpg
ST-013,Paramount+ - 1 Mes (Completa),Cuenta completa privada. Incluye página/bot. Renovable.,Streaming,33600,32200,SI,Paramount_1mesCompleto.jpg
ST-014,Crunchyroll - 1 Mes (Perfil),Perfil individual para anime. Incluye página/bot. Renovable.,Streaming,18000,17250,SI,Crunchyroll1mesPerfil.jpg
ST-015,Crunchyroll - 1 Mes (Completa),Cuenta completa privada. Sin anuncios. Renovable.,Streaming,30000,28750,SI,Crunchyroll1mesCompleto.jpg
ST-016,Prime Video - 1 Mes (Perfil),Perfil individual Amazon Prime. Incluye página/bot.,Streaming,18000,17250,SI,Logo de Amazon Prime Video azul con la flecha de sonrisa amarilla.
